Temperature - (Celsius), Year, Statistics, Country, ISO3
-25.385, 1901, Jan Average, Canada, CAN
-23.719, 1901, Feb Average, Canada, CAN
-18.934, 1901, Mar Average, Canada, CAN
-9.9643, 1901, Apr Average, Canada, CAN
0.02289, 1901, May Average, Canada, CAN
6.37951, 1901, Jun Average, Canada, CAN
10.8978, 1901, Jul Average, Canada, CAN
9.53889, 1901, Aug Average, Canada, CAN
3.31492, 1901, Sep Average, Canada, CAN
-3.3429, 1901, Oct Average, Canada, CAN
-15.185, 1901, Nov Average, Canada, CAN
-20.106, 1901, Dec Average, Canada, CAN
-23.675, 1902, Jan Average, Canada, CAN
-21.49, 1902, Feb Average, Canada, CAN
-19.807, 1902, Mar Average, Canada, CAN
-10.742, 1902, Apr Average, Canada, CAN
-0.8764, 1902, May Average, Canada, CAN
5.53744, 1902, Jun Average, Canada, CAN
10.7308, 1902, Jul Average, Canada, CAN
9.22725, 1902, Aug Average, Canada, CAN
3.17026, 1902, Sep Average, Canada, CAN
-3.5717, 1902, Oct Average, Canada, CAN
-15.464, 1902, Nov Average, Canada, CAN
-23.227, 1902, Dec Average, Canada, CAN
-24.324, 1903, Jan Average, Canada, CAN
-23.16, 1903, Feb Average, Canada, CAN
-20.038, 1903, Mar Average, Canada, CAN
-11.211, 1903, Apr Average, Canada, CAN
-1.694, 1903, May Average, Canada, CAN
7.09628, 1903, Jun Average, Canada, CAN
10.606, 1903, Jul Average, Canada, CAN
8.94099, 1903, Aug Average, Canada, CAN
2.53082, 1903, Sep Average, Canada, CAN
-4.4983, 1903, Oct Average, Canada, CAN
-14.599, 1903, Nov Average, Canada, CAN
-20.194, 1903, Dec Average, Canada, CAN
-25.953, 1904, Jan Average, Canada, CAN
-28.832, 1904, Feb Average, Canada, CAN
-21.466, 1904, Mar Average, Canada, CAN
-9.1589, 1904, Apr Average, Canada, CAN
-0.4453, 1904, May Average, Canada, CAN
6.5527, 1904, Jun Average, Canada, CAN
10.6491, 1904, Jul Average, Canada, CAN
8.9177, 1904, Aug Average, Canada, CAN
2.27902, 1904, Sep Average, Canada, CAN
-3.9277, 1904, Oct Average, Canada, CAN
-12.273, 1904, Nov Average, Canada, CAN
-20.984, 1904, Dec Average, Canada, CAN
-25.506, 1905, Jan Average, Canada, CAN
-23.658, 1905, Feb Average, Canada, CAN
-17.369, 1905, Mar Average, Canada, CAN
-8.8631, 1905, Apr Average, Canada, CAN
0.07834, 1905, May Average, Canada, CAN
6.6655, 1905, Jun Average, Canada, CAN
11.0579, 1905, Jul Average, Canada, CAN
9.59425, 1905, Aug Average, Canada, CAN
3.34147, 1905, Sep Average, Canada, CAN
-5.344, 1905, Oct Average, Canada, CAN
-12.873, 1905, Nov Average, Canada, CAN
-20.526, 1905, Dec Average, Canada, CAN
-25.238, 1906, Jan Average, Canada, CAN
-24.673, 1906, Feb Average, Canada, CAN
-19.233, 1906, Mar Average, Canada, CAN
-8.763, 1906, Apr Average, Canada, CAN
-0.4272, 1906, May Average, Canada, CAN
7.28629, 1906, Jun Average, Canada, CAN
11.8487, 1906, Jul Average, Canada, CAN
9.32755, 1906, Aug Average, Canada, CAN
3.98207, 1906, Sep Average, Canada, CAN
-3.6013, 1906, Oct Average, Canada, CAN
-14.182, 1906, Nov Average, Canada, CAN
-23.736, 1906, Dec Average, Canada, CAN
-28.388, 1907, Jan Average, Canada, CAN
-25.956, 1907, Feb Average, Canada, CAN
-20.65, 1907, Mar Average, Canada, CAN
-13.092, 1907, Apr Average, Canada, CAN
-2.0545, 1907, May Average, Canada, CAN
6.28127, 1907, Jun Average, Canada, CAN
10.3721, 1907, Jul Average, Canada, CAN
8.01909, 1907, Aug Average, Canada, CAN
2.68142, 1907, Sep Average, Canada, CAN
-4.1062, 1907, Oct Average, Canada, CAN
-13.626, 1907, Nov Average, Canada, CAN
-19.773, 1907, Dec Average, Canada, CAN
-23.367, 1908, Jan Average, Canada, CAN
-23.408, 1908, Feb Average, Canada, CAN
-21.744, 1908, Mar Average, Canada, CAN
-10.945, 1908, Apr Average, Canada, CAN
-0.5596, 1908, May Average, Canada, CAN
6.82614, 1908, Jun Average, Canada, CAN
11.5057, 1908, Jul Average, Canada, CAN
9.06858, 1908, Aug Average, Canada, CAN
4.08489, 1908, Sep Average, Canada, CAN
-4.5507, 1908, Oct Average, Canada, CAN
-13.955, 1908, Nov Average, Canada, CAN
-21.788, 1908, Dec Average, Canada, CAN
-28.513, 1909, Jan Average, Canada, CAN
-26.248, 1909, Feb Average, Canada, CAN
-18.127, 1909, Mar Average, Canada, CAN
-13.048, 1909, Apr Average, Canada, CAN
-1.1518, 1909, May Average, Canada, CAN
7.5321, 1909, Jun Average, Canada, CAN
10.8717, 1909, Jul Average, Canada, CAN
9.07962, 1909, Aug Average, Canada, CAN
4.19681, 1909, Sep Average, Canada, CAN
-4.6572, 1909, Oct Average, Canada, CAN
-15.716, 1909, Nov Average, Canada, CAN
-21.435, 1909, Dec Average, Canada, CAN
-24.01, 1910, Jan Average, Canada, CAN
-26.59, 1910, Feb Average, Canada, CAN
-17.221, 1910, Mar Average, Canada, CAN
-9.1624, 1910, Apr Average, Canada, CAN
-1.11, 1910, May Average, Canada, CAN
7.08106, 1910, Jun Average, Canada, CAN
11.0015, 1910, Jul Average, Canada, CAN
8.39765, 1910, Aug Average, Canada, CAN
3.06692, 1910, Sep Average, Canada, CAN
-3.9867, 1910, Oct Average, Canada, CAN
-14.882, 1910, Nov Average, Canada, CAN
-21.606, 1910, Dec Average, Canada, CAN
-29.159, 1911, Jan Average, Canada, CAN
-24.51, 1911, Feb Average, Canada, CAN
-18.747, 1911, Mar Average, Canada, CAN
-10.958, 1911, Apr Average, Canada, CAN
-0.0419, 1911, May Average, Canada, CAN
7.16415, 1911, Jun Average, Canada, CAN
10.8697, 1911, Jul Average, Canada, CAN
8.78218, 1911, Aug Average, Canada, CAN
2.8181, 1911, Sep Average, Canada, CAN
-3.7531, 1911, Oct Average, Canada, CAN
-16.119, 1911, Nov Average, Canada, CAN
-19.957, 1911, Dec Average, Canada, CAN
-26.615, 1912, Jan Average, Canada, CAN
-22.35, 1912, Feb Average, Canada, CAN
-20.163, 1912, Mar Average, Canada, CAN
-10.121, 1912, Apr Average, Canada, CAN
-0.1394, 1912, May Average, Canada, CAN
7.27073, 1912, Jun Average, Canada, CAN
9.96204, 1912, Jul Average, Canada, CAN
8.71782, 1912, Aug Average, Canada, CAN
3.36053, 1912, Sep Average, Canada, CAN
-4.115, 1912, Oct Average, Canada, CAN
-12.947, 1912, Nov Average, Canada, CAN
-20.628, 1912, Dec Average, Canada, CAN
-27.294, 1913, Jan Average, Canada, CAN
-24.776, 1913, Feb Average, Canada, CAN
-21.053, 1913, Mar Average, Canada, CAN
-9.5174, 1913, Apr Average, Canada, CAN
-1.2057, 1913, May Average, Canada, CAN
7.27999, 1913, Jun Average, Canada, CAN
10.3486, 1913, Jul Average, Canada, CAN
9.11124, 1913, Aug Average, Canada, CAN
2.96468, 1913, Sep Average, Canada, CAN
-5.3437, 1913, Oct Average, Canada, CAN
-13.549, 1913, Nov Average, Canada, CAN
-18.993, 1913, Dec Average, Canada, CAN
-25.084, 1914, Jan Average, Canada, CAN
-27.248, 1914, Feb Average, Canada, CAN
-19.541, 1914, Mar Average, Canada, CAN
-10.772, 1914, Apr Average, Canada, CAN
-0.4342, 1914, May Average, Canada, CAN
6.46281, 1914, Jun Average, Canada, CAN
10.9136, 1914, Jul Average, Canada, CAN
9.15665, 1914, Aug Average, Canada, CAN
3.42774, 1914, Sep Average, Canada, CAN
-2.7549, 1914, Oct Average, Canada, CAN
-13.883, 1914, Nov Average, Canada, CAN
-22.909, 1914, Dec Average, Canada, CAN
-23.619, 1915, Jan Average, Canada, CAN
-22.197, 1915, Feb Average, Canada, CAN
-17.386, 1915, Mar Average, Canada, CAN
-6.5857, 1915, Apr Average, Canada, CAN
-0.1958, 1915, May Average, Canada, CAN
6.23889, 1915, Jun Average, Canada, CAN
10.5586, 1915, Jul Average, Canada, CAN
10.2626, 1915, Aug Average, Canada, CAN
3.31367, 1915, Sep Average, Canada, CAN
-4.5772, 1915, Oct Average, Canada, CAN
-13.765, 1915, Nov Average, Canada, CAN
-19.296, 1915, Dec Average, Canada, CAN
-27.815, 1916, Jan Average, Canada, CAN
-24.478, 1916, Feb Average, Canada, CAN
-20.949, 1916, Mar Average, Canada, CAN
-9.0722, 1916, Apr Average, Canada, CAN
-0.5613, 1916, May Average, Canada, CAN
6.76428, 1916, Jun Average, Canada, CAN
11.2095, 1916, Jul Average, Canada, CAN
9.32979, 1916, Aug Average, Canada, CAN
3.74062, 1916, Sep Average, Canada, CAN
-4.8432, 1916, Oct Average, Canada, CAN
-13.734, 1916, Nov Average, Canada, CAN
-23.434, 1916, Dec Average, Canada, CAN
-27.202, 1917, Jan Average, Canada, CAN
-26.468, 1917, Feb Average, Canada, CAN
-19.305, 1917, Mar Average, Canada, CAN
-11.08, 1917, Apr Average, Canada, CAN
-1.7309, 1917, May Average, Canada, CAN
5.60884, 1917, Jun Average, Canada, CAN
10.9763, 1917, Jul Average, Canada, CAN
9.15006, 1917, Aug Average, Canada, CAN
3.78315, 1917, Sep Average, Canada, CAN
-5.9611, 1917, Oct Average, Canada, CAN
-12.204, 1917, Nov Average, Canada, CAN
-27.429, 1917, Dec Average, Canada, CAN
-26.089, 1918, Jan Average, Canada, CAN
-26.469, 1918, Feb Average, Canada, CAN
-20.48, 1918, Mar Average, Canada, CAN
-10.704, 1918, Apr Average, Canada, CAN
-2.2796, 1918, May Average, Canada, CAN
5.42742, 1918, Jun Average, Canada, CAN
10.0179, 1918, Jul Average, Canada, CAN
8.87083, 1918, Aug Average, Canada, CAN
3.60221, 1918, Sep Average, Canada, CAN
-4.893, 1918, Oct Average, Canada, CAN
-13.473, 1918, Nov Average, Canada, CAN
-20.138, 1918, Dec Average, Canada, CAN
-22.107, 1919, Jan Average, Canada, CAN
-24.728, 1919, Feb Average, Canada, CAN
-21.657, 1919, Mar Average, Canada, CAN
-9.2791, 1919, Apr Average, Canada, CAN
-0.6166, 1919, May Average, Canada, CAN
6.73953, 1919, Jun Average, Canada, CAN
10.696, 1919, Jul Average, Canada, CAN
9.82574, 1919, Aug Average, Canada, CAN
3.98373, 1919, Sep Average, Canada, CAN
-6.7542, 1919, Oct Average, Canada, CAN
-16.821, 1919, Nov Average, Canada, CAN
-22.609, 1919, Dec Average, Canada, CAN
-26.803, 1920, Jan Average, Canada, CAN
-21.01, 1920, Feb Average, Canada, CAN
-19.943, 1920, Mar Average, Canada, CAN
-12.146, 1920, Apr Average, Canada, CAN
-1.3147, 1920, May Average, Canada, CAN
6.38426, 1920, Jun Average, Canada, CAN
11.2838, 1920, Jul Average, Canada, CAN
9.54204, 1920, Aug Average, Canada, CAN
3.67123, 1920, Sep Average, Canada, CAN
-4.2185, 1920, Oct Average, Canada, CAN
-14.087, 1920, Nov Average, Canada, CAN
-21.017, 1920, Dec Average, Canada, CAN
-24.535, 1921, Jan Average, Canada, CAN
-23.411, 1921, Feb Average, Canada, CAN
-20.546, 1921, Mar Average, Canada, CAN
-9.5002, 1921, Apr Average, Canada, CAN
-0.1774, 1921, May Average, Canada, CAN
7.91654, 1921, Jun Average, Canada, CAN
11.6601, 1921, Jul Average, Canada, CAN
8.82026, 1921, Aug Average, Canada, CAN
3.30247, 1921, Sep Average, Canada, CAN
-3.54, 1921, Oct Average, Canada, CAN
-16.191, 1921, Nov Average, Canada, CAN
-20.617, 1921, Dec Average, Canada, CAN
-24.033, 1922, Jan Average, Canada, CAN
-27.809, 1922, Feb Average, Canada, CAN
-20.448, 1922, Mar Average, Canada, CAN
-10.363, 1922, Apr Average, Canada, CAN
0.07714, 1922, May Average, Canada, CAN
6.25132, 1922, Jun Average, Canada, CAN
10.5075, 1922, Jul Average, Canada, CAN
9.2936, 1922, Aug Average, Canada, CAN
3.41041, 1922, Sep Average, Canada, CAN
-5.3541, 1922, Oct Average, Canada, CAN
-12.973, 1922, Nov Average, Canada, CAN
-24.164, 1922, Dec Average, Canada, CAN
-26.778, 1923, Jan Average, Canada, CAN
-24.849, 1923, Feb Average, Canada, CAN
-24.072, 1923, Mar Average, Canada, CAN
-10.629, 1923, Apr Average, Canada, CAN
-0.5584, 1923, May Average, Canada, CAN
7.98424, 1923, Jun Average, Canada, CAN
10.9599, 1923, Jul Average, Canada, CAN
8.67383, 1923, Aug Average, Canada, CAN
4.30652, 1923, Sep Average, Canada, CAN
-2.3202, 1923, Oct Average, Canada, CAN
-11.108, 1923, Nov Average, Canada, CAN
-20.638, 1923, Dec Average, Canada, CAN
-26.285, 1924, Jan Average, Canada, CAN
-22.467, 1924, Feb Average, Canada, CAN
-15.2, 1924, Mar Average, Canada, CAN
-10.398, 1924, Apr Average, Canada, CAN
0.63409, 1924, May Average, Canada, CAN
6.85591, 1924, Jun Average, Canada, CAN
10.4822, 1924, Jul Average, Canada, CAN
9.10319, 1924, Aug Average, Canada, CAN
3.78004, 1924, Sep Average, Canada, CAN
-3.6403, 1924, Oct Average, Canada, CAN
-14.292, 1924, Nov Average, Canada, CAN
-24.409, 1924, Dec Average, Canada, CAN
-28.805, 1925, Jan Average, Canada, CAN
-25.626, 1925, Feb Average, Canada, CAN
-19.324, 1925, Mar Average, Canada, CAN
-8.7366, 1925, Apr Average, Canada, CAN
-0.1087, 1925, May Average, Canada, CAN
7.08102, 1925, Jun Average, Canada, CAN
10.9592, 1925, Jul Average, Canada, CAN
9.52073, 1925, Aug Average, Canada, CAN
3.53061, 1925, Sep Average, Canada, CAN
-6.0154, 1925, Oct Average, Canada, CAN
-13.504, 1925, Nov Average, Canada, CAN
-17.709, 1925, Dec Average, Canada, CAN
-22.076, 1926, Jan Average, Canada, CAN
-23.033, 1926, Feb Average, Canada, CAN
-18.494, 1926, Mar Average, Canada, CAN
-10.335, 1926, Apr Average, Canada, CAN
0.01857, 1926, May Average, Canada, CAN
6.81581, 1926, Jun Average, Canada, CAN
10.7729, 1926, Jul Average, Canada, CAN
8.85059, 1926, Aug Average, Canada, CAN
2.4372, 1926, Sep Average, Canada, CAN
-3.5922, 1926, Oct Average, Canada, CAN
-14.237, 1926, Nov Average, Canada, CAN
-22.173, 1926, Dec Average, Canada, CAN
-24.856, 1927, Jan Average, Canada, CAN
-23.902, 1927, Feb Average, Canada, CAN
-17.264, 1927, Mar Average, Canada, CAN
-10.141, 1927, Apr Average, Canada, CAN
-0.9724, 1927, May Average, Canada, CAN
6.77698, 1927, Jun Average, Canada, CAN
11.0848, 1927, Jul Average, Canada, CAN
9.31126, 1927, Aug Average, Canada, CAN
3.91736, 1927, Sep Average, Canada, CAN
-3.489, 1927, Oct Average, Canada, CAN
-16.858, 1927, Nov Average, Canada, CAN
-24.46, 1927, Dec Average, Canada, CAN
-23.368, 1928, Jan Average, Canada, CAN
-21.832, 1928, Feb Average, Canada, CAN
-18.657, 1928, Mar Average, Canada, CAN
-12.201, 1928, Apr Average, Canada, CAN
0.54162, 1928, May Average, Canada, CAN
7.19991, 1928, Jun Average, Canada, CAN
11.1273, 1928, Jul Average, Canada, CAN
8.76776, 1928, Aug Average, Canada, CAN
3.46119, 1928, Sep Average, Canada, CAN
-4.4016, 1928, Oct Average, Canada, CAN
-11.634, 1928, Nov Average, Canada, CAN
-17.91, 1928, Dec Average, Canada, CAN
-25.853, 1929, Jan Average, Canada, CAN
-24.538, 1929, Feb Average, Canada, CAN
-19.261, 1929, Mar Average, Canada, CAN
-10.348, 1929, Apr Average, Canada, CAN
-1.214, 1929, May Average, Canada, CAN
6.63531, 1929, Jun Average, Canada, CAN
10.2526, 1929, Jul Average, Canada, CAN
9.5741, 1929, Aug Average, Canada, CAN
3.54317, 1929, Sep Average, Canada, CAN
-2.751, 1929, Oct Average, Canada, CAN
-13.945, 1929, Nov Average, Canada, CAN
-23.008, 1929, Dec Average, Canada, CAN
-26.638, 1930, Jan Average, Canada, CAN
-23.821, 1930, Feb Average, Canada, CAN
-18.324, 1930, Mar Average, Canada, CAN
-9.4899, 1930, Apr Average, Canada, CAN
-0.1688, 1930, May Average, Canada, CAN
7.89453, 1930, Jun Average, Canada, CAN
11.6734, 1930, Jul Average, Canada, CAN
10.4228, 1930, Aug Average, Canada, CAN
4.03668, 1930, Sep Average, Canada, CAN
-4.3285, 1930, Oct Average, Canada, CAN
-12.441, 1930, Nov Average, Canada, CAN
-18.298, 1930, Dec Average, Canada, CAN
-22.263, 1931, Jan Average, Canada, CAN
-20.42, 1931, Feb Average, Canada, CAN
-19.593, 1931, Mar Average, Canada, CAN
-9.1864, 1931, Apr Average, Canada, CAN
-0.5487, 1931, May Average, Canada, CAN
8.0082, 1931, Jun Average, Canada, CAN
12.3451, 1931, Jul Average, Canada, CAN
9.60178, 1931, Aug Average, Canada, CAN
4.71598, 1931, Sep Average, Canada, CAN
-2.2753, 1931, Oct Average, Canada, CAN
-12.709, 1931, Nov Average, Canada, CAN
-19.656, 1931, Dec Average, Canada, CAN
-24.286, 1932, Jan Average, Canada, CAN
-26.353, 1932, Feb Average, Canada, CAN
-19.835, 1932, Mar Average, Canada, CAN
-8.9898, 1932, Apr Average, Canada, CAN
1.08628, 1932, May Average, Canada, CAN
7.69046, 1932, Jun Average, Canada, CAN
10.8062, 1932, Jul Average, Canada, CAN
10.6506, 1932, Aug Average, Canada, CAN
4.56247, 1932, Sep Average, Canada, CAN
-4.6119, 1932, Oct Average, Canada, CAN
-16.671, 1932, Nov Average, Canada, CAN
-22.202, 1932, Dec Average, Canada, CAN
-25.714, 1933, Jan Average, Canada, CAN
-25.192, 1933, Feb Average, Canada, CAN
-19.129, 1933, Mar Average, Canada, CAN
-10.064, 1933, Apr Average, Canada, CAN
-0.4018, 1933, May Average, Canada, CAN
6.3123, 1933, Jun Average, Canada, CAN
10.5111, 1933, Jul Average, Canada, CAN
10.5, 1933, Aug Average, Canada, CAN
3.71955, 1933, Sep Average, Canada, CAN
-5.4511, 1933, Oct Average, Canada, CAN
-16.375, 1933, Nov Average, Canada, CAN
-28.507, 1933, Dec Average, Canada, CAN
-25.359, 1934, Jan Average, Canada, CAN
-23.196, 1934, Feb Average, Canada, CAN
-20.446, 1934, Mar Average, Canada, CAN
-9.041, 1934, Apr Average, Canada, CAN
0.02493, 1934, May Average, Canada, CAN
6.43387, 1934, Jun Average, Canada, CAN
10.7246, 1934, Jul Average, Canada, CAN
8.52276, 1934, Aug Average, Canada, CAN
2.5459, 1934, Sep Average, Canada, CAN
-3.8274, 1934, Oct Average, Canada, CAN
-13.021, 1934, Nov Average, Canada, CAN
-21.732, 1934, Dec Average, Canada, CAN
-28.168, 1935, Jan Average, Canada, CAN
-20.768, 1935, Feb Average, Canada, CAN
-20.598, 1935, Mar Average, Canada, CAN
-10.784, 1935, Apr Average, Canada, CAN
-0.5343, 1935, May Average, Canada, CAN
7.1247, 1935, Jun Average, Canada, CAN
11.8512, 1935, Jul Average, Canada, CAN
9.36172, 1935, Aug Average, Canada, CAN
3.83433, 1935, Sep Average, Canada, CAN
-5.0643, 1935, Oct Average, Canada, CAN
-17.067, 1935, Nov Average, Canada, CAN
-20.814, 1935, Dec Average, Canada, CAN
-27.163, 1936, Jan Average, Canada, CAN
-27.742, 1936, Feb Average, Canada, CAN
-17.277, 1936, Mar Average, Canada, CAN
-11.427, 1936, Apr Average, Canada, CAN
-0.506, 1936, May Average, Canada, CAN
7.16263, 1936, Jun Average, Canada, CAN
11.6319, 1936, Jul Average, Canada, CAN
9.69886, 1936, Aug Average, Canada, CAN
3.11989, 1936, Sep Average, Canada, CAN
-6.2802, 1936, Oct Average, Canada, CAN
-14.762, 1936, Nov Average, Canada, CAN
-23.164, 1936, Dec Average, Canada, CAN
-26.22, 1937, Jan Average, Canada, CAN
-23.709, 1937, Feb Average, Canada, CAN
-16.819, 1937, Mar Average, Canada, CAN
-8.1373, 1937, Apr Average, Canada, CAN
0.78366, 1937, May Average, Canada, CAN
8.21113, 1937, Jun Average, Canada, CAN
11.5201, 1937, Jul Average, Canada, CAN
9.35185, 1937, Aug Average, Canada, CAN
4.1985, 1937, Sep Average, Canada, CAN
-3.4002, 1937, Oct Average, Canada, CAN
-14.031, 1937, Nov Average, Canada, CAN
-22.841, 1937, Dec Average, Canada, CAN
-23.872, 1938, Jan Average, Canada, CAN
-25.203, 1938, Feb Average, Canada, CAN
-17.361, 1938, Mar Average, Canada, CAN
-10.346, 1938, Apr Average, Canada, CAN
0.6678, 1938, May Average, Canada, CAN
7.7089, 1938, Jun Average, Canada, CAN
11.999, 1938, Jul Average, Canada, CAN
9.66164, 1938, Aug Average, Canada, CAN
6.10779, 1938, Sep Average, Canada, CAN
-1.7537, 1938, Oct Average, Canada, CAN
-13.652, 1938, Nov Average, Canada, CAN
-19.135, 1938, Dec Average, Canada, CAN
-22.564, 1939, Jan Average, Canada, CAN
-27.848, 1939, Feb Average, Canada, CAN
-21.46, 1939, Mar Average, Canada, CAN
-8.2817, 1939, Apr Average, Canada, CAN
0.42782, 1939, May Average, Canada, CAN
6.65596, 1939, Jun Average, Canada, CAN
11.137, 1939, Jul Average, Canada, CAN
